filename,site,day,month,year,hour,MS,FS,MNC,ONC,NCcomb
RRam-2019-03-13_11-00.flac,2019 Rush Ranch AM,13,3,19,11:00:00,FP,TN,TN,TN,TN
RRam-2019-03-13_10-00.flac,2019 Rush Ranch AM,13,3,19,10:00:00,FP,TN,TN,TN,TN
RRam-2019-03-13_09-00.flac,2019 Rush Ranch AM,13,3,19,9:00:00,FP,TN,TN,TN,TN
RRam-2019-03-13_08-00.flac,2019 Rush Ranch AM,13,3,19,8:00:00,TP,TN,TN,TN,TN
RRam-2019-03-12_19-00.flac,2019 Rush Ranch AM,12,3,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-03-12_18-00.flac,2019 Rush Ranch AM,12,3,19,18:00:00,TP,TN,TN,TN,TN
RRam-2019-03-12_17-00.flac,2019 Rush Ranch AM,12,3,19,17:00:00,TN,TN,TN,TN,TN
RRam-2019-03-12_16-00.flac,2019 Rush Ranch AM,12,3,19,16:00:00,TN,TN,TN,TN,TN
RRam-2019-03-12_15-00.flac,2019 Rush Ranch AM,12,3,19,15:00:00,FP,FP,TN,TN,TN
RRam-2019-03-12_14-00.flac,2019 Rush Ranch AM,12,3,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-03-12_12-00.flac,2019 Rush Ranch AM,12,3,19,12:00:00,TN,TN,TN,TN,TN
RRam-2019-03-12_11-00.flac,2019 Rush Ranch AM,12,3,19,11:00:00,TN,TN,TN,TN,TN
RRam-2019-03-12_10-00.flac,2019 Rush Ranch AM,12,3,19,10:00:00,FP,TN,TN,TN,TN
RRam-2019-03-12_09-00.flac,2019 Rush Ranch AM,12,3,19,9:00:00,missed,TN,TN,TN,TN
RRam-2019-03-12_08-00.flac,2019 Rush Ranch AM,12,3,19,8:00:00,TP,TN,TN,TN,TN
RRam-2019-03-12_07-00.flac,2019 Rush Ranch AM,12,3,19,7:00:00,TN,TN,TN,TN,TN
RRam-2019-03-11_19-00.flac,2019 Rush Ranch AM,11,3,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-03-11_18-00.flac,2019 Rush Ranch AM,11,3,19,18:00:00,TP,TN,TN,TN,TN
RRam-2019-03-11_17-00.flac,2019 Rush Ranch AM,11,3,19,17:00:00,missed,TN,TN,TN,TN
RRam-2019-03-11_16-00.flac,2019 Rush Ranch AM,11,3,19,16:00:00,TN,TN,TN,TN,TN
RRam-2019-03-11_15-00.flac,2019 Rush Ranch AM,11,3,19,15:00:00,TN,TN,TN,TN,TN
RRam-2019-03-11_14-00.flac,2019 Rush Ranch AM,11,3,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-03-11_13-00.flac,2019 Rush Ranch AM,11,3,19,13:00:00,FP,TN,TN,TN,TN
RRam-2019-03-11_12-00.flac,2019 Rush Ranch AM,11,3,19,12:00:00,TN,TN,TN,TN,TN
RRam-2019-03-11_11-00.flac,2019 Rush Ranch AM,11,3,19,11:00:00,TN,TN,TN,TN,TN
RRam-2019-03-11_10-00.flac,2019 Rush Ranch AM,11,3,19,10:00:00,FP,TN,TN,TN,TN
RRam-2019-03-11_09-00.flac,2019 Rush Ranch AM,11,3,19,9:00:00,TN,TN,TN,TN,TN
RRam-2019-03-11_08-00.flac,2019 Rush Ranch AM,11,3,19,8:00:00,TN,TN,TN,TN,TN
RRam-2019-03-11_07-00.flac,2019 Rush Ranch AM,11,3,19,7:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_19-00.flac,2019 Rush Ranch AM,10,3,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_18-00.flac,2019 Rush Ranch AM,10,3,19,18:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_17-00.flac,2019 Rush Ranch AM,10,3,19,17:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_16-00.flac,2019 Rush Ranch AM,10,3,19,16:00:00,FP,TN,TN,TN,TN
RRam-2019-03-10_15-00.flac,2019 Rush Ranch AM,10,3,19,15:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_14-00.flac,2019 Rush Ranch AM,10,3,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-03-10_13-00.flac,2019 Rush Ranch AM,10,3,19,13:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_12-00.flac,2019 Rush Ranch AM,10,3,19,12:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_11-00.flac,2019 Rush Ranch AM,10,3,19,11:00:00,FP,TN,TN,TN,TN
RRam-2019-03-10_10-00.flac,2019 Rush Ranch AM,10,3,19,10:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_09-00.flac,2019 Rush Ranch AM,10,3,19,9:00:00,TN,TN,TN,TN,TN
RRam-2019-03-10_08-00.flac,2019 Rush Ranch AM,10,3,19,8:00:00,TP,TN,TN,TN,TN
RRam-2019-03-10_07-00.flac,2019 Rush Ranch AM,10,3,19,7:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_19-00.flac,2019 Rush Ranch AM,9,3,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_18-00.flac,2019 Rush Ranch AM,9,3,19,18:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_17-00.flac,2019 Rush Ranch AM,9,3,19,17:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_16-00.flac,2019 Rush Ranch AM,9,3,19,16:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_15-00.flac,2019 Rush Ranch AM,9,3,19,15:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_14-00.flac,2019 Rush Ranch AM,9,3,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-03-09_13-00.flac,2019 Rush Ranch AM,9,3,19,13:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_12-00.flac,2019 Rush Ranch AM,9,3,19,12:00:00,FP,TN,TN,TN,TN
RRam-2019-03-09_11-00.flac,2019 Rush Ranch AM,9,3,19,11:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_10-00.flac,2019 Rush Ranch AM,9,3,19,10:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_09-00.flac,2019 Rush Ranch AM,9,3,19,9:00:00,TN,TN,TN,TN,TN
RRam-2019-03-09_08-00.flac,2019 Rush Ranch AM,9,3,19,8:00:00,FP,TN,TN,TN,TN
RRam-2019-03-09_07-00.flac,2019 Rush Ranch AM,9,3,19,7:00:00,TP,TN,TN,TN,TN
RRam-2019-03-08_19-00.flac,2019 Rush Ranch AM,8,3,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-03-08_18-00.flac,2019 Rush Ranch AM,8,3,19,18:00:00,TN,TN,TN,TN,TN
RRam-2019-03-08_17-00.flac,2019 Rush Ranch AM,8,3,19,17:00:00,FP,TN,TN,TN,TN
RRam-2019-03-08_16-00.flac,2019 Rush Ranch AM,8,3,19,16:00:00,FP,TN,TN,TN,TN
RRam-2019-03-08_15-00.flac,2019 Rush Ranch AM,8,3,19,15:00:00,FP,TN,TN,TN,TN
RRam-2019-03-08_14-00.flac,2019 Rush Ranch AM,8,3,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-03-07_08-00.flac,2019 Rush Ranch AM,7,3,19,8:00:00,TN,TN,TN,TN,TN
RRam-2019-03-06_19-00.flac,2019 Rush Ranch AM,6,3,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-03-01_09-00.flac,2019 Rush Ranch AM,1,3,19,9:00:00,FP,TN,TN,TN,TN
RRam-2019-03-01_11-00.flac,2019 Rush Ranch AM,1,3,19,11:00:00,FP,TN,TN,TN,TN
RRam-2019-03-01_10-00.flac,2019 Rush Ranch AM,1,3,19,10:00:00,TN,TN,TN,TN,TN
RRam-2019-03-01_08-00.flac,2019 Rush Ranch AM,1,3,19,8:00:00,TN,TN,TN,TN,TN
RRam-2019-02-28_18-00.flac,2019 Rush Ranch AM,28,2,19,18:00:00,TN,TN,TN,TN,TN
RRam-2019-02-28_16-00.flac,2019 Rush Ranch AM,28,2,19,16:00:00,TP,TN,TN,TN,TN
RRam-2019-02-28_17-00.flac,2019 Rush Ranch AM,28,2,19,17:00:00,TP,TN,TN,TN,TN
RRam-2019-02-28_09-00.flac,2019 Rush Ranch AM,28,2,19,9:00:00,TN,TN,TN,TN,TN
RRam-2019-02-28_08-00.flac,2019 Rush Ranch AM,28,2,19,8:00:00,FP,TN,TN,TN,TN
RRam-2019-02-27_17-00.flac,2019 Rush Ranch AM,27,2,19,17:00:00,FP,TN,TN,TN,TN
RRam-2019-02-27_16-00.flac,2019 Rush Ranch AM,27,2,19,16:00:00,FP,TN,TN,TN,TN
RRam-2019-02-27_14-00.flac,2019 Rush Ranch AM,27,2,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-02-26_09-00.flac,2019 Rush Ranch AM,26,2,19,9:00:00,FP,TN,TN,TN,TN
RRam-2019-02-26_08-00.flac,2019 Rush Ranch AM,26,2,19,8:00:00,FP,TN,TN,TN,TN
RRam-2019-02-26_07-00.flac,2019 Rush Ranch AM,26,2,19,7:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_13-00.flac,2019 Rush Ranch AM,25,2,19,13:00:00,FP,TN,TN,TN,TN
RRam-2019-03-08_13-00.flac,2019 Rush Ranch AM,8,3,19,13:00:00,TN,FP,TN,TN,TN
RRam-2019-02-25_12-00.flac,2019 Rush Ranch AM,25,2,19,12:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_15-00.flac,2019 Rush Ranch AM,25,2,19,15:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_16-00.flac,2019 Rush Ranch AM,25,2,19,16:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_14-00.flac,2019 Rush Ranch AM,25,2,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_08-00.flac,2019 Rush Ranch AM,25,2,19,8:00:00,TN,TN,TN,TN,TN
RRam-2019-02-24_16-00.flac,2019 Rush Ranch AM,24,2,19,16:00:00,TN,TN,TN,TN,TN
RRam-2019-02-23_11-00.flac,2019 Rush Ranch AM,23,2,19,11:00:00,FP,TN,TN,TN,TN
RRam-2019-02-17_08-00.flac,2019 Rush Ranch AM,17,2,19,8:00:00,TN,TN,TN,TN,TN
RRam-2019-02-17_09-00.flac,2019 Rush Ranch AM,17,2,19,9:00:00,FP,TN,TN,TN,TN
RRam-2019-03-07_07-00.flac,2019 Rush Ranch AM,7,3,19,7:00:00,FP,TN,TN,TN,TN
RRam-2019-03-06_14-00.flac,2019 Rush Ranch AM,6,3,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-03-06_12-00.flac,2019 Rush Ranch AM,6,3,19,12:00:00,FP,TN,TN,TN,TN
RRam-2019-03-06_15-00.flac,2019 Rush Ranch AM,6,3,19,15:00:00,FP,TN,TN,TN,TN
RRam-2019-03-06_13-00.flac,2019 Rush Ranch AM,6,3,19,13:00:00,FP,TN,TN,TN,TN
RRam-2019-03-06_11-00.flac,2019 Rush Ranch AM,6,3,19,11:00:00,TN,TN,TN,TN,TN
RRam-2019-03-01_07-00.flac,2019 Rush Ranch AM,1,3,19,7:00:00,TP,TN,TN,TN,TN
RRam-2019-02-28_15-00.flac,2019 Rush Ranch AM,28,2,19,15:00:00,TN,TN,TN,TN,TN
RRam-2019-02-28_10-00.flac,2019 Rush Ranch AM,28,2,19,10:00:00,TN,TN,TN,TN,TN
RRam-2019-02-27_18-00.flac,2019 Rush Ranch AM,27,2,19,18:00:00,TN,TN,TN,TN,TN
RRam-2019-02-28_14-00.flac,2019 Rush Ranch AM,28,2,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_07-00.flac,2019 Rush Ranch AM,25,2,19,7:00:00,FP,TN,TN,TN,TN
RRam-2019-02-24_14-00.flac,2019 Rush Ranch AM,24,2,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-02-24_13-00.flac,2019 Rush Ranch AM,24,2,19,13:00:00,TN,TN,TN,TN,TN
RRam-2019-02-24_15-00.flac,2019 Rush Ranch AM,24,2,19,15:00:00,TN,TN,TN,TN,TN
RRam-2019-02-23_19-00.flac,2019 Rush Ranch AM,23,2,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-02-22_10-00.flac,2019 Rush Ranch AM,22,2,19,10:00:00,TN,TN,TN,TN,TN
RRam-2019-02-22_12-00.flac,2019 Rush Ranch AM,22,2,19,12:00:00,TN,TN,TN,TN,TN
RRam-2019-02-22_14-00.flac,2019 Rush Ranch AM,22,2,19,14:00:00,TN,TN,TN,TN,TN
RRam-2019-02-22_11-00.flac,2019 Rush Ranch AM,22,2,19,11:00:00,TN,TN,TN,TN,TN
RRam-2019-02-22_13-00.flac,2019 Rush Ranch AM,22,2,19,13:00:00,TN,TN,TN,TN,TN
